Technical Description,Charge
8.3FR. LOCK PERICARDIOCENTESIS,364.00
8.5F .035 12CM URETERAL STENT,496.00
8.5F .035 16CM URETERAL STENT,496.00
8-6X30 PROT?G? STENT TAPR,3800.00
8-6X40 PROTEGE STENT TAPR,4100.00
8F 25CM DRAINAGE CATHETER,182.00
8F 40CM BILARY CATHETER,182.00
8F CATHETER DRAINAGE TRAY,159.00
8F PLAS/TITAN SINGLE PWR PORT,514.00
8F PLAS/TITANIUM SINGLE POWER,514.00
8F POWER PORT IMPLANTABLE,540.00
8FR 1.6MM LOW PROF XCELA PORT,612.00
8FR 12MMX40MM WALLSTENT ENDOPR,2325.00
8FR 12MMX60MM WALLSTENT ENDOPR,2325.00
8FX25CM PINNACLE INTROD SHEATH,63.00
8FX30CM INTRODUCER SET,102.00
8MM 10CM AZUR DETACH 18 COIL,1600.00
8MM 20CM AZUR COIL,1600.00
8MM 20CM AZUR COIL,1600.00
8MM 20CM AZUR FRAMING COIL 035,2040.00
8MM 29MMX80CM GENESIS STENT,2340.00
8MM ABUTMENT,4100.00
8MM VASCULAR PLUG,1600.00
8MMX 20CM HELIPAQ C,2328.00
8MMX 30CM PRESIDIO 18 C,5036.00
8MMX12CM CASHMERE C,3259.00
8MMX13.6CM MICRUSPHERE 18  C,3106.00
8MMX13.6CM SPHERICAL 18,2130.00
8MMX20CM CASHMERE,2242.00
8MMX20CM DELTAPAQS C,2471.00
8MMX20CM DELTAPAQS P,2471.00
8MMX29CM PRESIDIO 10  C,4660.00
8MMX30CM HELICAL 18,1100.00
8MMX30CM HELIPAQ C,2518.00
8MMX60CM80CM LUMINEX 3BIL STNT,2308.00
8X20 PROTEGE STENT STR,2900.00
8X2X75  PTA DILATION CATHETER,320.00
8X38X120 ICAST COVERED STENT,4893.00
8X38X80 ICAST COVERED STENT,4893.00
8X59X80 ICAST COVERED STENT,5273.00
9.6F PLASTIC DUAL POWER PORT,800.00
90 SCREW,785.00
9-10 NERVE CONDUCTION STUDIES,1416.00
99201-NEW W/OTHER SVC L1 RES,262.00
99201-NEW W/OTHER SVC LEVEL 1,262.00
99202-NEW W/OTHER SVC L2 RES,314.00
99202-NEW W/OTHER SVC LEVEL 2,314.00
99203-LEVEL 3 NEW W/MULT E&M,360.00
99203-NEW W/OTHER SVC L3 RES,360.00
99203-NEW W/OTHER SVC LEVEL 3,360.00
99204-NEW W/OTHER SVC L4 RES,438.00
99204-NEW W/OTHER SVC LEVEL 4,438.00
99205-NEW W/OTHER SVC L5 RES,453.00
99205-NEW-W/OTHER SVC LEVEL 5,453.00
99211-EST PT W/OTH SVC L1 RES,247.00
99211-EST PT W/OTH SVC LEVEL 1,247.00
99212-EAST PT W/OTH SVC L2 RES,300.00
99212-EST PT W/OTH SVC LEVEL 2,300.00
99213-EST PT W/OTH SVC L3 RES,346.00
99213-EST PT W/OTH SVC LEVEL 3,346.00
99214-EST PT W/OTH SVC L4 RES,392.00
99214-EST PT W/OTH SVC LEVEL 4,392.00
99215-EST PT W/OTH SVC L5 RES,424.00
99215-EST PT W/OTH SVC LEVEL 5,424.00
9-ASD-028 28MM APLATZER SEPTAL,9500.00
9FR 14MMX60MM WALLSTENT ENDOPR,2236.00
9FX30CM INTRODUCER SET,102.00
9MMX 30CM HELIPAQ C,2518.00
9MMX 33CM PRESIDIO 18 C,5120.00
9MMX14CM CASHMERE C,3278.00
9MMX15.3CM MICRUSPHERE 18 C,3136.00
9MMX15.3CM SPHERICAL 18,2160.00
9MMX15CM HELIPAQ C,2232.00
9MMX22CM CASHMERE,2262.00
9MMX25CM DELTAPAQS C,2471.00
9MMX25CM DELTAPAQS P,2471.00
9MMX2CMX110CM PTADILATION CATH,393.00
9MMX30CM HELICAL 18,1100.00
A1 AG NEG BLD,300.00
A1 PATIENT ANTIGEN,220.00
"A1AT,PHENOTYPE",27.00
"A1AT,TOTAL",25.00
AA FRACT MT SIN,241.00
AAC-NON SGD THERAPY-30MINS,247.00
AAC-NON SGD THERAPY-60MINS,457.00
AAC-SGD EVALUATION ADD.30 MINS,200.00
AAC-SGD THERAPY(30 MINS),317.00
AAC-SGD THERAPY-60MINS.,580.00
AAC-SPEECHGENERATING DEVICE EV,728.00
ABACAVIR 300MG TAB,33.05
ABACAVIR/LAMIVUDINE,155.00
ABACAVIR/LAMUV/ZIDOV,75.34
ABATACEPT INJ 10MG,2150.70
ABBO CABLE HEARTMATE 3,9900.00
ABBO CONTROLLER HEARTMATE 3,11000.00
ABBREVO TVT,2506.00
ABBREVO TVT,2506.00
ABCESS CATHETER CHECK,974.00
ABCESS VESTIBULE MOUTH,730.00
ABCIXIMAB INJ 10MG,4073.92
ABD PARACENTES-DX/TX W/O IMAGE,1554.00
ABD PARACENTES-DX/TX W/O IMAGE,1257.00
ABD PARACENTESIS W/IMAGING,1555.00
ABD PARACENTESIS-DX/TX W/IMAGE,1257.00
ABDOMEN 1 VIEW DECUBITUS RIGHT,447.00
ABDOMEN 1VIEW DECUBITS PORT LT,447.00
ABDOMEN 1VIEW DECUBITS PORT RT,497.00
ABDOMEN 1VIEW DECUBITUS BILTRL,581.00
ABDOMEN 1VIEW DECUBITUS LEFT,447.00
ABDOMEN 1VIEW DECUBITUS LEFT,446.00
ABDOMEN 1VIEW DECUBITUS RIGHT,446.00
ABDOMEN 1VIEW ERECT,447.00
ABDOMEN 1VIEW ERECT,447.00
ABDOMEN 1VIEW INFANT,447.00
ABDOMEN 1VIEW INFANT PORTABLE,447.00
ABDOMEN 1VIEW OBLIQUE POS LEFT,446.00
ABDOMEN 1VIEW OBLIQUE POS LEFT,446.00
ABDOMEN 1VIEW OBLIQUE POS RGHT,446.00
ABDOMEN 1VIEW OBLIQUE POS RIGH,446.00
ABDOMEN 1VIEW SUPINE KUB,447.00
ABDOMEN 1VIEW SUPINE KUB,447.00
ABDOMEN 1VIEW SUPINE KUB PORT,447.00
ABDOMEN 1VIEW SUPINE LAT,447.00
ABDOMEN 1VIEW SUPINE LATERAL,497.00
ABDOMEN 2VIEWS DECUBITUS BIL,446.00
ABDOMEN 2VIEWS FLAT ERECT PORT,572.00
ABDOMEN 2VW DECUB PORTABLE BIL,447.00
ABDOMEN 2VW OBLIQUE POSTER BIL,303.00
ABDOMEN 2VW SERIES FLAT ERECT,572.00
ABDOMEN 2VWS SERIES FLAT ERECT,572.00
ABDOMEN CHEST COMPLETE,601.00
ABDOMEN CHEST COMPLETE,601.00
ABDOMEN DUPLEX-IVC/ILIAC V LTD,610.00
ABDOMEN OBLIQUE POSTERIOR/BILA,303.00
ABDOMEN SURGERY PROCEDURE,6820.00
ABDOMEN TUBE INJ JEJUNOSTOMY,974.00
ABDOMEN TUBE PL.W/FLUOR,832.00
ABDOMEN W/NON-IONIC,3446.00
ABDOMEN W/NON-IONIC,3446.00
ABDOMEN W/O AND W/NON-IONIC,3864.00
ABDOMEN W/O AND W/NON-IONIC,3864.00
ABDOMEN W/O CONTRAST,2225.00
ABDOMINAL AORTOGTRAM,8067.00
ABDOMINAL CONTRA LIMB TALENT,17850.00
ABDOMINAL VAC DRESSING,670.00
ABDOMINAL VAC DRESSING,670.00
ABDOMINAL VAC DRESSING,653.00
ABG W/CARBOXY AND METH,219.00
ABLATE ARRHYTHYMIA ADD ON,9236.00
ABLATION DEV SURG FLEX-10,8500.00
ABLATOR ASPIRATING 3MM 60 DEG,260.00
ABLATOR ASPIRATING 4MM 60 DEG,260.00
ABLATOR ASPIRATING 4MM 90 DEG,350.00
ABO BLOOD TYPING,140.00
ABR - THRESHOLD,1660.00
ABR HEARING SCREEN,581.00
ABR HEARING SCREEN 1,581.00
ABS CATH CHANGE,629.00
ABS DRAIN EMPYEMA,749.00
ABS DRAIN PARA-RENAL,1744.00
ABS DRAIN PERI-RENAL,1744.00
ABS DRAIN PERITONEOCENT,1744.00
ABS DRAIN SUBDIAPHRAG,1744.00
ABSCESS CATHETER EXCH/SINO,629.00
ABSCESS DRAINAGE UNDER X-RAY,1744.00
"ABSCESS DRAINAGE,LIVER",1744.00
"ABSCESS DRAINAGE,PERCUTANEOUS",1744.00
"ABSCESS DRAINAGE,PERITONEAL",1744.00
"ABSCESS DRAINAGE,RETROPERITON",1744.00
ABSCESS LOC./GALL. WB,2540.00
ABSCESS LOC.GAL.LIMITED,3746.00
ABSCESS LOCALIZATION SPECT CT,2698.00
ABSCESS TUBE CHECK VIA CATH,1140.00
ABSOLUTE ALCOHOL,53.62
ABUTMENT HEALING 4.3X5MM,69.00
ACARBOSE 50MG TABLET,1.68
ACCENT DR RF PACEMAKER PM2210,11220.00
ACCESS MP LIFT SET,990.00
ACCESS MV STABILIZER SET,1900.00
ACCESS PELVIS,9247.00
ACCESS PORT GSTRC BAND LPBND,1650.00
ACCESS PORT GSTRC BAND LPBND,1650.00
ACCESSORY BLOCK,369.00
ACCOLADE C #5,4016.00
ACCTAZOLAMIDE 25MG/ML SUSP,0.72
ACCUPUNCT W/ELE STIM INIT 15M,24.00
ACCUPUNCT W/STIM EA ADD 25MIN,14.00
ACCUPUNCTUE INITIAL 15 MIN,34.00
ACCUPUNCTURE EA ADDL 15 MIN MD,17.00
ACCUSTICK INTRODUCER NEEDLE,21.00
ACETAB SHELL 52E,2574.00
ACETABULAR AUGMENT 58/30MM,5562.00
ACETABULAR AUGMENT 62/30MM,5562.00
ACETABULAR LINER 10 DEG 36MM,6734.00
ACETABULAR LOCK RING SZ 42,202.00
ACETAMINOPHEN,185.00
ACETAMINOPHEN 10MG/1ML INJ PED,1.01
ACETAMINOPHEN 10MG/ML 100ML IN,112.26
ACETAMINOPHEN 120MG SUPP,1.07
ACETAMINOPHEN 160MG/5ML LIQUID,2.02
ACETAMINOPHEN 325MG SUPP,1.00
ACETAMINOPHEN 325MG/10.15ML LI,2.32
ACETAMINOPHEN 500MG TAB,0.54
ACETAMINOPHEN 650MG SUPP,1.69
ACETAZOLAMID SODIUM INJ 500MG,132.49
ACETAZOLAMIDE 250MG TABLET,6.61
ACETAZOLAMIDE 500MG CAP,12.55
ACETIC ACID 0.25% IRRIG,18.43
ACETYLCHOLINE 1% OPHTH SOLN,269.80
ACETYLCHOLINE RECEPTOR BIND AB,39.00
ACETYLCHOLINE RECEPTOR BLOC AB,51.00
"ACETYLCHOLINESTERASE, AF",175.00
ACETYLCYSTEINE 20% SOLN,42.21
ACETYLCYSTEINE 200MG/ML,52.13
ACETYLCYSTEINE INJ 200MG/ML,579.98
ACHILLES TENDON W/CALCANEOUS,2266.00
ACHILLES TENDON W/CALCANEUOS,2266.00
ACHR MODULATING AB,68.00
ACNE SURGERY,650.00
ACNE SURGERY,566.00
ACO REF THESH-1,167.00
ACOUSTIC IMMITTANCE,457.00
ACOUSTIC IMMITTANCE-1,457.00
ACOUSTIC REFLEX THRESHOLD,167.00
ACP PROCEDURE ROOM TO 15 MIN,2042.00
ACP PX ROOM EA ADDITION 15 MIN,306.00
ACQUISITION FEE(BONE ONLY),1675.00
ACQUISITION FEE(BONE RETRIEVAL,1675.00
ACQUISITION FEE(BONE&VEIN),2186.00
ACQUISITION FEE(RESEARCH),1159.00
ACROMIOCLAV.JTS/BLT,340.00
ACROMIOCLAV.JTS/BLT,340.00
ACTIGALL 300MG CAPSULE,18.58
ACTIVATED CHARCOAL 30GM LIQUID,39.92
ACTIVATION ARM DSTRCT ZRCH2 D,696.00
ACTUATOR PNEUM LRS AXIUM 3D,97.00
ACUM 30170007-S,1084.00
ACUTE ED,1290.00
ACUTE HEMODIALYSIS I/P,1783.00
ACUTE PERIT DIAL,1450.00
ACUTE VENOUS THROMBOSIS IMAGIN,2405.00
ACYCLOVIR 200MG CAP,6.89
ACYCLOVIR 200MG/5ML SUSP,2.74
ACYCLOVIR 400MG TAB,9.00
ACYCLOVIR 400MG/10ML ORAL SUSP,27.43
ACYCLOVIR 5% OINTMENT,1115.52
ACYCLOVIR 50MG/1ML INJ,6.29
ACYCLOVIR 5MG/ML SYRINGE,0.47
"ACYLCARNITINE QUANT, PLASMA",132.00
"ACYLGLYCINES QUANT, URINE",202.00
ADAMTS13 ACTIVITY,228.00
ADAMTS13 INHIBITOR,366.00
ADAPTER ALARM,550.00
ADAPTER BSCP EDG OLMPS,136.00
ADAPTER CONTROLLER AC POWER,2000.00
ADAPTER CRDPLG Y M LL F LL CLR,32.00
ADAPTER DC CONTROLLER,4000.00
ADAPTER ESCP OLMPS BSCP,150.00
ADAPTER EXTR FIXAT RING F ROT,1276.00
ADAPTER FEM BOLT OFFSET +2/-2,454.00
ADAPTER FEM TRTHLN 2MM OFST KN,2582.00
ADAPTER FEM TRTHLN 4MM OFST KN,2582.00
ADAPTER FEMALE XS RING,875.00
ADAPTER LD 15CM BRADY 5.38MM,650.00
ADAPTER LEAD,200.00
ADAPTER LEAD 47CM,800.00
ADAPTER NK STG1 +6 HIP SIL SS,610.00
ADAPTER PC-LD 9FR SFSHTH SPLT,100.00
ADAPTER PWR ALRM,550.00
ADAPTER PWR COMTROLLER AC,2000.00
ADAPTER SIGMA FEMORAL SZ5,3302.00
ADAPTER SPNL VEPTR 2 TI NSTRL,6012.00
ADAPTER TAPER M2A 42-50 PLUS 3,482.00
ADAPTER TAPER M2A MAGNUM 42-50,482.00
ADAPTER TAPER SL,487.00
ADAPTER TIB OSS SEG STK,286.00
ADAPTER USED W/CALIBER SCREW,567.00
ADAPTOR 45 DEG,2744.00
ADAPTOR BIPOLAR LEAD,500.00
ADAPTOR CAMINO BOLT,166.00
ADAPTOR DR,11400.00
ADAPTOR DR,11400.00
ADAPTOR IRR 2,354.00
ADAPTOR LARGE,750.00
ADAPTOR POCKET 1X4,990.00
ADAPTOR TAPER SLEEVE 11/13,487.00
ADAPTOR TAPER SLEEVE 11/13 3+,700.00
ADAPTOR TAPER SLEEVE 12/14,488.00
ADAPTOR TAPER SLEEVE 12/14,487.00
ADAPTOR TITANIUM  PD CATH,320.00
ADAPTOR TOOM ELLIK NON-LOK,1719.00
ADAPTOR TPR SL,488.00
ADAPTOR ULTRACISON HARMONIC,891.00
ADATOR SIL 5000,730.00
"ADD ON KIT, 1.4 MM",840.00
ADD WALKER PREVIOUSLY APPLIED,620.00
ADDIT TISS BLOCK,123.00
ADDITIONAL CELLS COUNTED,264.00
ADDITIONAL KARYO TYPE,391.00
ADDITIONAL SEQ INFUSION TO 1HR,611.00
ADDITIONAL SEQ INFUSION TO 1HR,611.00
ADD-ON LORDOTIC SM 16MM,6615.00
ADENOSCAN 90MG/30ML INJ,548.43
ADENOSINE 60MG/20ML INJ,311.87
ADENOSINE 6MG INJ,35.67
ADENOSINE INJECTION,423.00
ADENOVIRUS AB IGG,12.00
ADENOVIRUS AB IGM,11.00
"ADENOVIRUS QPCR, BAL",150.00
"ADENOVIRUS QPCR, CSF",150.00
"ADENOVIRUS QPCR, FECAL",150.00
"ADENOVIRUS QPCR, PLASMA",150.00
"ADENOVIRUS QPCR, URINE",150.00
"ADENOVIRUS QPCR,BRONCH WASH",150.00
ADH SKN CLSRE ABRA SET,9960.00
ADJ GASTRIC BAND DIAM VIA INJ,90.00
ADJ GASTRIC BAND DIAM-INJ/ASP,124.00
ADJUSTABLE CRYOPROBE,2700.00
ADM-CYROPRECIPIT,21.00
ADMIN CHG 1ST VACCINE,155.00
ADMIN CHG EACH ADDT'L VACCINE,109.00
ADMIN EA ADD ORAL/NASAL IMMUN,93.00
ADMIN EA ADDITIONAL VACCINE,67.00
ADMIN HEPATITIS B VACCINE,155.00
ADMIN HEPATITIS B VACCINE,155.00
ADMIN IMMUNIZATION SINGLE/INIT,98.00
ADMIN INFLUENZA A H1N1 W-CO MC,109.00
ADMIN INTO CNS/INTRATHECAL,6126.00
ADMIN OF HEPATITIS B VACCINE,155.00
ADMIN PNEUMOCOCCAL VACCINE,155.00
ADMIN PNEUMOCOCCAL VACCINE,155.00
ADMIN PNEUMOCOCCAL VACCINE,155.00
ADMIN PNEUMOCOCCAL VACCINE,155.00
ADMIN PNEUMOCOCCAL VACCINE,155.00
ADMIN. OF INFLUENZA VACCINE,109.00
ADMIN-FF PLASMA,71.00
ADMINISTER INFLUENZA VACCINE,81.00
ADMINISTER PNEUMOCOCCAL VACCIN,81.00
ADMINISTRATION FLU VACCINE,109.00
ADMINISTRATION PREVNAR VACCINE,155.00
ADMIN-WHOLE BLOOD,71.00
ADM-LEUKOCYT CONC,21.00
ADM-PCKD RED CELL,71.00
ADM-PLATELET CONC,21.00
ADM-WASH RED CELL,71.00
ADO-TRASTUZUMAB 100MG/5ML INJ,9651.35
"ADRENAL IMAG.,CORT./MED.",3460.00
ADRENALIN EPINEPHR INJ 0.1MG,1.00
ADRENALS W/O&W NON-IONIC CONTR,3864.00
ADRENALS W/O&W NON-IONIC CONTR,3864.00
ADRENALS WITH NON-IONIC CONTRA,3446.00
ADRENALS WITH NON-IONIC CONTRA,3446.00
ADRENOCORTICOTROPIC HORMONE,23.00
AEROSOL SPUTUM COLLECTION,252.00
AFB CONCENTRATION,86.00
AFB CULTURE ONLY,135.00
AFB CULTURE PRESUMPTIVE ID,135.00
AFB SMEAR ONLY,109.00
AFP AMNIOTIC FLUID,15.00
AFP MATERNAL SCRN (QUAD),80.00
AFP-TUMOR MARKER,243.00
AFX INTRODUCER SHEATH,650.00
AGENT BULK SIL-EL 2.5ML,990.00
AGENT DURASPHERE INJ BULKING,356.00
AGENT HMST FLSL BVN MTRX HMN,376.00
AIMING BLOCK FOR RT PLATE,1500.00
AIRWAY INHALATION TREATMENT,234.00
AIRWAY INHALATION TREATMENT,234.00
AIRWAY INHALATION TREATMENT,234.00
AIRWAY RESIS BY IMPULSE OSCILL,598.00
AIRWAYS SURGICAL PROCEDURE,3042.00
AKREOS LENS D=15.5,220.00
AKREOS LENS D=19.0,220.00
AKREOS LENS D=20.0,220.00
AKREOS LENS D=21.0,220.00
ALARYNGEAL SPEECH BRIEF EVAL,668.00
ALARYNGEAL SPEECH EVAL,668.00
ALBENDAZOLE 200MG TAB,163.20
ALBUMIN,53.00
ALBUMIN 5% 250ML,209.02
"ALBUMIN 5%, 250ML",270.00
"ALBUMIN 5%,50ML",199.00
ALBUMIN CSF,47.00
ALBUMIN HUMAN 25% 25G/100ML SO,318.14
ALBUMIN HUMAN 25% 50ML,171.82
ALBUMIN SERUM,53.00
"ALBUMIN,BODY FLUID",47.00
ALBUNEX,292.00
ALBUTEROL 0.83MG/ML INH SOL,1.84
ALBUTEROL 1MG/ML NEB,1.17
ALBUTEROL 2.5MG/0.5NL ER DEPT,2.32
ALBUTEROL 4MG TABLET,21.15
ALBUTEROL 5MG/ML INH SOL,97.21
ALBUTEROL CFC FREE 90MCG INH,50.47
ALBUTEROL-IPRA 2.5MG-0.5MG 3ML,6.02
ALBUTEROL-IPRATROPIUM 100MCG-2,1149.72
ALCL SB6AT4 14.5,320.00
ALCL SB6AT5 D=7.0,320.00
ALCL SN6AD1 17.0,320.00
ALCL SN6AD1 17.5,320.00
ALCL SN6AD1 18.5,320.00
ALCL SN6AD1 20.0,320.00
ALCL SN6AD1 22.0,320.00
ALCL SN6AD1 23.5,320.00
ALCL SN6AD1 24.5,320.00
ALCL SN6AD1 25.5,320.00
ALCL SN6AD1 CF 17.0,894.00
ALCL SN6AD1 CF 17.5,894.00
ALCL SN6AD1 CF 18.5,894.00
ALCL SN6AD1 CF 20.0,894.00
ALCL SN6AD1 CF 22.0,894.00
ALCL SN6AD1 CF 23.5,894.00
ALCL SN6AD1 CF 24.5,894.00
ALCL SN6AD1 CF 25.5,894.00
ALCL SN6AD1 CF D=18.0,894.00
ALCL SN6AD1 CF D=19.5,894.00
ALCL SN6AD1 CF D=20.5,894.00
ALCL SN6AD1 CF D=21.0,894.00
ALCL SN6AD1 CF D=21.5,894.00
ALCL SN6AD1 CF D=22.5,894.00
ALCL SN6AD1 CF D=23.0,894.00
ALCL SN6AD1 CF D=25.0,894.00
ALCL SN6AD1 CF D=9.0,894.00
ALCL SN6AD1 D=10.0,320.00
ALCL SN6AD1 D=10.0,894.00
ALCL SN6AD1 D=18.0,320.00
ALCL SN6AD1 D=19.5,320.00
ALCL SN6AD1 D=20.5,320.00
ALCL SN6AD1 D=21.0,320.00
ALCL SN6AD1 D=21.5,320.00
ALCL SN6AD1 D=22.5,320.00
ALCL SN6AD1 D=23.0,320.00
ALCL SN6AD1 D=25.0,320.00
ALCL SN6AD1 D=9.0,320.00
ALCL SN6AD1. CF 240,894.00
ALCL SN6AD1.240,320.00
ALCL SN6AD3 CF D=23.0,414.00
ALCL SN6AD3 D=23.0,320.00
ALCL SN6AT3 11.0,320.00
ALCL SN6AT3 11.5,414.00
ALCL SN6AT3 12.0,320.00
ALCL SN6AT3 12.5,320.00
ALCL SN6AT3 13.5,320.00
ALCL SN6AT3 14.0,320.00
ALCL SN6AT3 16.0,320.00
ALCL SN6AT3 16.5,320.00
ALCL SN6AT3 17.0,320.00
ALCL SN6AT3 17.5,320.00
ALCL SN6AT3 18.0,320.00
ALCL SN6AT3 18.5,320.00
ALCL SN6AT3 19.5,320.00
ALCL SN6AT3 20.0,320.00
ALCL SN6AT3 20.5,320.00
ALCL SN6AT3 21.0,320.00
ALCL SN6AT3 21.5,320.00
ALCL SN6AT3 22.0,320.00
ALCL SN6AT3 22.5,320.00
ALCL SN6AT3 23.5,320.00
ALCL SN6AT3 25.0,320.00
ALCL SN6AT3 25.5,320.00
ALCL SN6AT3 26.0,320.00
ALCL SN6AT3 26.5,320.00
ALCL SN6AT3 27.0,320.00
ALCL SN6AT3 28.5 CF IOL,414.00
ALCL SN6AT3 28.5 IOL,342.00
ALCL SN6AT3 CF 11.0,414.00
ALCL SN6AT3 CF 11.5,320.00
ALCL SN6AT3 CF 12.0,414.00
ALCL SN6AT3 CF 12.5,414.00
ALCL SN6AT3 CF 13.5,414.00
ALCL SN6AT3 CF 14.0,414.00
ALCL SN6AT3 CF 16.0,414.00
ALCL SN6AT3 CF 16.5,414.00
ALCL SN6AT3 CF 17.0,414.00
ALCL SN6AT3 CF 17.5,414.00
ALCL SN6AT3 CF 18.0,414.00
ALCL SN6AT3 CF 18.5,414.00
ALCL SN6AT3 CF 19.5,414.00
ALCL SN6AT3 CF 20.0,414.00
ALCL SN6AT3 CF 20.5,414.00
ALCL SN6AT3 CF 21.0,414.00
ALCL SN6AT3 CF 21.5,414.00
ALCL SN6AT3 CF 22.0,414.00
ALCL SN6AT3 CF 22.5,414.00
ALCL SN6AT3 CF 23.5,414.00
ALCL SN6AT3 CF 25.0,414.00
ALCL SN6AT3 CF 25.5,414.00
ALCL SN6AT3 CF 26.0,414.00
ALCL SN6AT3 CF 26.5,414.00
ALCL SN6AT3 CF 27.0,414.00
ALCL SN6AT3 CF D=10.0,414.00
ALCL SN6AT3 CF D=10.5,414.00
ALCL SN6AT3 CF D=13.5,414.00
ALCL SN6AT3 CF D=15.0,414.00
ALCL SN6AT3 CF D=19.0,414.00
ALCL SN6AT3 CF D=23.0,414.00
ALCL SN6AT3 CF D=24.0,414.00
ALCL SN6AT3 CF D=26.0,414.00
ALCL SN6AT3 CF D=29.5,414.00
ALCL SN6AT3 D=10.0,320.00
ALCL SN6AT3 D=10.5,320.00
ALCL SN6AT3 D=13.5,320.00
ALCL SN6AT3 D=15.0,320.00
ALCL SN6AT3 D=19.0,320.00
ALCL SN6AT3 D=23.0,320.00
ALCL SN6AT3 D=24.0,320.00
ALCL SN6AT3 D=26.0,320.00
ALCL SN6AT3 D=29.5,320.00
ALCL SN6AT4 .250,320.00
ALCL SN6AT4 10.5,320.00
ALCL SN6AT4 11.0,320.00
ALCL SN6AT4 12.5,320.00
ALCL SN6AT4 14.0,320.00
ALCL SN6AT4 15.5,320.00
ALCL SN6AT4 17.0,320.00
ALCL SN6AT4 18.0,320.00
ALCL SN6AT4 18.0,320.00
ALCL SN6AT4 18.5,320.00
ALCL SN6AT4 20.5,320.00
ALCL SN6AT4 22.5,320.00
ALCL SN6AT4 23.0,320.00
ALCL SN6AT4 24.0,320.00
ALCL SN6AT4 25.5,320.00
ALCL SN6AT4 26.5,320.00
ALCL SN6AT4 28.5,320.00
ALCL SN6AT4 34.0,320.00
ALCL SN6AT4 CF .250,414.00
ALCL SN6AT4 CF 10.5,414.00
ALCL SN6AT4 CF 11.0,414.00
ALCL SN6AT4 CF 12.5,414.00
ALCL SN6AT4 CF 14.0,414.00
ALCL SN6AT4 CF 14.5,414.00
ALCL SN6AT4 CF 15.5,414.00
ALCL SN6AT4 CF 17.0,414.00
ALCL SN6AT4 CF 18.0,414.00
ALCL SN6AT4 CF 18.0,414.00
ALCL SN6AT4 CF 18.5,414.00
ALCL SN6AT4 CF 20.5,414.00
ALCL SN6AT4 CF 22.5,414.00
ALCL SN6AT4 CF 23.0,414.00
ALCL SN6AT4 CF 24.0,414.00
ALCL SN6AT4 CF 25.5,414.00
ALCL SN6AT4 CF 26.5,414.00
ALCL SN6AT4 CF 28.5,414.00
ALCL SN6AT4 CF 34.0,414.00
ALCL SN6AT4 CF D=12.0,414.00
ALCL SN6AT4 CF D=13.0,414.00
ALCL SN6AT4 CF D=15.0,414.00
ALCL SN6AT4 CF D=17.5,414.00
ALCL SN6AT4 CF D=19.0,414.00
ALCL SN6AT4 CF D=19.5,414.00
ALCL SN6AT4 CF D=20.0,414.00
ALCL SN6AT4 CF D=21.0,414.00
ALCL SN6AT4 CF D=21.5,414.00
ALCL SN6AT4 CF D=27.0,414.00
ALCL SN6AT4 CF D=29.0,414.00
ALCL SN6AT4 CF D=6.5,414.00
ALCL SN6AT4 CF U260,414.00
ALCL SN6AT4 D=12.0,320.00
ALCL SN6AT4 D=13.0,320.00
ALCL SN6AT4 D=15.0,320.00
ALCL SN6AT4 D=17.5,320.00
ALCL SN6AT4 D=19.0,320.00
ALCL SN6AT4 D=19.5,320.00
ALCL SN6AT4 D=20.0,320.00
ALCL SN6AT4 D=21.0,320.00
ALCL SN6AT4 D=21.5,320.00
ALCL SN6AT4 D=27.0,320.00
ALCL SN6AT4 D=29.0,320.00
ALCL SN6AT4 D=6.5,320.00
ALCL SN6AT4 U260,320.00
ALCL SN6AT4U CF 220,414.00
ALCL SN6AT4U220,320.00
ALCL SN6AT5 10.0,320.00
ALCL SN6AT5 11.5,320.00
ALCL SN6AT5 13.0,320.00
ALCL SN6AT5 15.5,320.00
ALCL SN6AT5 18.5,320.00
ALCL SN6AT5 23.5,320.00
ALCL SN6AT5 25.0,320.00
ALCL SN6AT5 26.0,320.00
ALCL SN6AT5 27.0,320.00
ALCL SN6AT5 28.5,320.00
ALCL SN6AT5 9.0,320.00
ALCL SN6AT5 CF .085,414.00
ALCL SN6AT5 CF 10.0,414.00
ALCL SN6AT5 CF 11.5,414.00
ALCL SN6AT5 CF 13.0,414.00
ALCL SN6AT5 CF 15.5,414.00
ALCL SN6AT5 CF 18.5,414.00
ALCL SN6AT5 CF 23.5,414.00
ALCL SN6AT5 CF 25.0,414.00
ALCL SN6AT5 CF 26.0,414.00
ALCL SN6AT5 CF 27.0,414.00
ALCL SN6AT5 CF 28.5,414.00
ALCL SN6AT5 CF 9.0,414.00
ALCL SN6AT5 CF D=11.0,414.00
ALCL SN6AT5 CF D=12.0,414.00
ALCL SN6AT5 CF D=13.5,414.00
ALCL SN6AT5 CF D=14.0,414.00
ALCL SN6AT5 CF D=14.5,414.00
ALCL SN6AT5 CF D=16.0,414.00
ALCL SN6AT5 CF D=18.0,414.00
ALCL SN6AT5 CF D=19.0,414.00
ALCL SN6AT5 CF D=19.5,414.00
ALCL SN6AT5 CF D=20.0,414.00
ALCL SN6AT5 CF D=20.5,414.00
ALCL SN6AT5 CF D=20.5,414.00
ALCL SN6AT5 CF D=21.5,414.00
ALCL SN6AT5 CF D=21.5,414.00
ALCL SN6AT5 CF D=23.0,414.00
