Medication,Charge
IRON DEXTRAN 50 MG/ML INJ (COMBO ERX),$117.45
IRON SUCROSE 100 MG/5 ML IV,$178.88
IRON SUCROSE 50 MG/2.5 ML IV,$99.93
ISOCARBOXAZID 10 MG TAB,$15.92
ISOMETHEPTENE-ACETAMINOPHN-DICHLORAL 65 MG-325 MG-100 MG CAP,$22.50
ISONIAZID 100 MG TAB,$6.78
ISONIAZID 100 MG TAB,$6.61
ISONIAZID 100 MG/ML INJECTION,$846.75
ISONIAZID 300 MG TAB,$6.89
ISONIAZID 50 MG (HALF-TAB),$13.03
ISOPROTERENOL 0.2 MG/ML INJECTION,$65.52
ISOSORBIDE DINITRATE 10 MG TAB,$8.57
ISOSORBIDE DINITRATE 10 MG TAB,$9.02
ISOSORBIDE DINITRATE 2.5 MG (HALF-TAB),$12.93
ISOSORBIDE DINITRATE 20 MG TAB,$6.64
ISOSORBIDE DINITRATE 20 MG TAB,$8.29
ISOSORBIDE DINITRATE 30 MG TAB,$6.82
ISOSORBIDE DINITRATE 40 MG TAB,$11.37
ISOSORBIDE DINITRATE 5 MG TAB,$8.38
ISOSORBIDE DINITRATE SR 40 MG TAB,$7.90
ISOSORBIDE MONONITRATE 10 MG TAB,$8.25
ISOSORBIDE MONONITRATE 10 MG TAB,$7.48
ISOSORBIDE MONONITRATE 20 MG TAB,$6.78
ISOSORBIDE MONONITRATE ER 120 MG 24 HR TAB,$7.62
ISOSORBIDE MONONITRATE ER 15 MG 24 HR (HALF-TAB),$20.78
ISOSORBIDE MONONITRATE ER 30 MG 24 HR TAB,$8.15
ISOSORBIDE MONONITRATE ER 30 MG 24 HR TAB,$7.38
ISOSORBIDE MONONITRATE ER 30 MG 24 HR TAB,$8.15
ISOSORBIDE MONONITRATE ER 60 MG 24 HR TAB,$7.48
ISOSULFAN BLUE 1 % INJECTION,"$1,313.03"
ITRACONAZOLE 10 MG/ML ORAL SOLN,$506.25
ITRACONAZOLE 100 MG CAP,$39.77
ITRACONAZOLE 100 MG CAP,$21.31
KETAMINE 10 MG/ML INJECTION,$81.65
KETAMINE 10 MG/ML INJECTION,$80.66
KETAMINE 10 MG/ML INJECTION,$80.66
KETAMINE 100 MG/ML INJECTION,$60.87
KETAMINE 10MG/ML INJECTION (PEDS),$81.65
KETOCONAZOLE 2 % SHAMPOO,$58.94
KETOCONAZOLE 2 % TOPICAL CREAM,$29.72
KETOCONAZOLE 2 % TOPICAL CREAM,$37.98
KETOCONAZOLE 200 MG TAB,$9.20
KETOPROFEN 50 MG CAP,$6.68
KETOPROFEN 75 MG CAP,$6.92
KETOPROFEN SR 200 MG 24 HR CAP,$12.52
KETOROLAC 30 MG/ML INJECTION (PEDS),$61.39
KETOROLAC TROMETHAMINE 0.5 % EYE DROPS,$32.59
KETOROLAC TROMETHAMINE 0.5 % EYE DROPS,$38.22
KETOROLAC TROMETHAMINE 0.5 % EYE DROPS,$34.69
KETOROLAC TROMETHAMINE 10 MG TAB,$6.92
KETOROLAC TROMETHAMINE 15 MG/ML INJECTION,$46.76
KETOROLAC TROMETHAMINE 15 MG/ML INJECTION,$46.76
KETOROLAC TROMETHAMINE 30 MG/ML INJECTION,$61.39
KETOROLAC TROMETHAMINE 30 MG/ML INJECTION,$46.28
"KETOROLAC TROMETHAMINE 30 MG/ML INJECTION, CARTRIDGE",$47.09
KETOROLAC TROMETHAMINE 60 MG/2 ML IM,$46.41
KETOROLAC TROMETHAMINE 60 MG/2 ML IM,$46.41
LABETALOL 100 MG TAB,$6.82
LABETALOL 100 MG TAB,$7.59
LABETALOL 200 MG TAB,$6.92
LABETALOL 200 MG TAB,$7.83
LABETALOL 300 MG TAB,$7.17
LABETALOL 5 MG/ML IV,$48.75
LABETALOL 5 MG/ML IV,$119.69
LABETALOL 5 MG/ML IV,$49.23
LACOSAMIDE 200 MG/20 ML IV,$152.78
LACOSAMIDE 25 MG (HALF-TAB),$14.43
LACOSAMIDE 50 MG TAB,$8.18
"LACTASE 3,000 UNIT TAB",$6.71
"LACTASE 3,000 UNIT TAB",$9.13
LACTATED RINGERS  IV INFUSION(NEO-PEDS),$71.75
LACTATED RINGERS  IV INFUSION(NEO-PEDS),$71.75
LACTATED RINGERS IV,$71.75
LACTATED RINGERS IV,$71.75
LACTATED RINGERS IV BOLUS,$71.75
LACTOBACILLUS ACIDOPH & BULGAR 1 MILLION CELL CHEWABLE TAB,$7.17
LACTOBACILLUS ACIDOPH & BULGAR 1 MILLION CELL TAB,$7.76
LACTOBACILLUS ACIDOPH & BULGAR ORAL PACKET,$6.72
LACTOBACILLUS ACIDOPH & BULGAR ORAL PACKET,$13.61
LACTOBACILLUS ACIDOPH & BULGAR ORAL PACKET,$13.61
LACTULOSE 10 G/15 ML ORAL SOLN,$21.20
LACTULOSE 20 GRAM/30 ML ORAL SOLN,$8.60
LACTULOSE 20 GRAM/30 ML ORAL SOLN,$8.15
LAMIVUDINE 10 MG/ML ORAL SOLN,$357.15
LAMIVUDINE 10 MG/ML ORAL SOLN,$19.93
LAMIVUDINE 150 MG TAB,$27.26
LAMIVUDINE-ZIDOVUDINE 150 MG-300 MG TAB,$51.25
LAMIVUDINE-ZIDOVUDINE 150 MG-300 MG TAB,$31.37
LAMOTRIGINE 100 MG TAB,$6.89
LAMOTRIGINE 12.5 MG (HALF-TAB),$13.10
LAMOTRIGINE 200 MG TAB,$7.06
LAMOTRIGINE 25 MG TAB,$6.78
"LANSOPRAZOLE 15 MG CAP, DELAYED RELEASE",$24.43
"LANSOPRAZOLE 30 MG CAP, DELAYED RELEASE",$24.43
LANSOPRAZOLE 30 MG ORALLY DISINTEGRATING TABLET,$24.73
LANSOPRAZOLE 30 MG ORALLY DISINTEGRATING TABLET,$24.73
LANTHANUM 250 MG CHEWABLE (HALF-TAB),$19.54
LANTHANUM 500 MG CHEWABLE TAB,$26.90
LANTHANUM 500 MG CHEWABLE TAB,$26.90
LATANOPROST 0.005 % EYE DROPS,$243.22
LATANOPROST 0.005 % EYE DROPS,$28.53
LATANOPROST 0.005 % EYE DROPS,$30.38
LATANOPROST 0.005 % EYE DROPS,$29.02
LC BEAD 100-300 MCM IN SALINE,"$7,122.50"
LC BEAD 70-150 MCM IN SALINE,"$11,600.00"
LEFLUNOMIDE 10 MG TAB,$8.11
LEFLUNOMIDE 5 MG (HALF-TAB),$13.73
LETROZOLE 1.25 MG (HALF-TAB),$57.58
LETROZOLE 2.5 MG TAB,$72.29
LEUCOVORIN CALCIUM 50 MG SOLUTION FOR INJECTION,$111.14
LEUPROLIDE (3 MONTH) 22.5 MG IM SYRINGE,"$8,948.08"
LEUPROLIDE (4 MONTH) 30 MG IM KIT,"$11,864.11"
LEUPROLIDE 3.75 MG IM KIT,"$2,647.03"
LEUPROLIDE 7.5 MG (PED) IM KIT,"$3,143.79"
LEVALBUTEROL 0.63 MG/3 ML SOLN FOR INHALATION,$27.28
LEVALBUTEROL 0.63 MG/3 ML SOLN FOR INHALATION,$17.84
LEVALBUTEROL 1.25 MG/0.5 ML NEB SOLUTION,$26.55
LEVALBUTEROL 1.25 MG/0.5 ML NEB SOLUTION,$15.36
LEVETIRACETAM 100MG/ML  ORAL SOLUTION (PEDS),$29.41
LEVETIRACETAM 125 MG (HALF-TAB),$13.80
LEVETIRACETAM 250 MG TAB,$7.76
LEVETIRACETAM 500 MG TAB,$7.34
LEVETIRACETAM 500 MG TAB,$7.87
LEVETIRACETAM 500 MG/5 ML (5 ML) ORAL SOLN,$29.41
LEVETIRACETAM 500 MG/5 ML IV,$62.79
LEVETIRACETAM IN NS 10 MG/ML INJECTION DILUTION (PEDS),$872.50
"LEVETIRACETAM IN SOD CHLORIDE (ISO-OSM) 1,000 MG/100 ML IV PIGGY BACK",$128.13
LEVETIRACETAM IN SOD CHLORIDE (ISO-OSM) 500 MG/100 ML IV PIGGY BACK,$128.13
LEVOBUNOLOL 0.5 % EYE DROPS,$65.41
LEVOCARNITINE 165 MG (HALF-TAB),$15.48
LEVOCARNITINE 200 MG/ML IV,$65.78
LEVOCARNITINE 330 MG TAB,$8.01
LEVOFLOXACIN 0.25 MG/ML IV - DILUTION,$66.63
LEVOFLOXACIN 25 MG/ML IV,$96.91
LEVOFLOXACIN 25 MG/ML IV,$80.56
LEVOFLOXACIN 250 MG TAB,$14.83
LEVOFLOXACIN 250 MG/10 ML ORAL SOLN,$72.01
LEVOFLOXACIN 250 MG/10 ML ORAL SOLN,"$1,255.95"
LEVOFLOXACIN 250 MG/10 ML ORAL SOLN,$657.45
LEVOFLOXACIN 250 MG/10 ML ORAL SOLN,$44.99
LEVOFLOXACIN 500 MG TAB,$14.69
LEVOFLOXACIN 500 MG TAB,$7.34
LEVOFLOXACIN 500 MG TAB,$8.50
LEVOFLOXACIN 750 MG TAB,$20.64
LEVOFLOXACIN IN D5W 250 MG/50 ML IV PIGGY BACK,$128.13
LEVOFLOXACIN IN D5W 250 MG/50 ML IV PIGGY BACK,$128.13
LEVOFLOXACIN IN D5W 250 MG/50 ML IV PIGGY BACK,$128.13
LEVOFLOXACIN IN D5W 250 MG/50 ML IV PIGGY BACK,$128.13
LEVOFLOXACIN IN D5W 500 MG/100 ML IV PIGGY BACK,$128.13
LEVOFLOXACIN IN D5W 500 MG/100 ML IV PIGGY BACK,$128.13
LEVOFLOXACIN IN D5W 500 MG/100 ML IV PIGGY BACK,$128.13
LEVOFLOXACIN IN D5W 500 MG/100 ML IV PIGGY BACK,$128.13
LEVOFLOXACIN IN D5W 500 MG/100 ML IV PIGGY BACK,$128.13
LEVOFLOXACIN IN D5W 750 MG/150 ML IV PIGGY BACK,$128.13
LEVOFLOXACIN IN D5W 750 MG/150 ML IV PIGGY BACK,$128.13
LEVOFLOXACIN IN D5W 750 MG/150 ML IV PIGGY BACK,$128.13
LEVOFLOXACIN IN D5W 750 MG/150 ML IV PIGGY BACK,$128.13
LEVOFLOXACIN IN D5W 750 MG/150 ML IVPB - SEPSIS,$128.13
LEVOFLOXACIN IN D5W 750 MG/150 ML IVPB - SEPSIS,$128.13
LEVOFLOXACIN IN D5W 750 MG/150 ML IVPB - SEPSIS,$128.13
LEVONORGESTREL 1.5 MG TAB,$96.17
LEVORPHANOL TARTRATE 2 MG TAB,$17.46
LEVOTHYROXINE 100 MCG IV SOLUTION,$255.61
LEVOTHYROXINE 100 MCG TAB,$6.96
LEVOTHYROXINE 112 MCG TAB,$7.06
LEVOTHYROXINE 112 MCG TAB,$6.99
LEVOTHYROXINE 12.5 MCG (HALF-TAB),$13.10
LEVOTHYROXINE 125 MCG TAB,$7.06
LEVOTHYROXINE 137 MCG TAB,$6.99
LEVOTHYROXINE 137 MCG TAB,$6.89
LEVOTHYROXINE 150 MCG TAB,$7.10
LEVOTHYROXINE 200 MCG SOLUTION FOR INJECTION,$123.53
LEVOTHYROXINE 200 MCG TAB,$7.24
LEVOTHYROXINE 25 MCG TAB,$6.85
LEVOTHYROXINE 300 MCG TAB,$7.24
LEVOTHYROXINE 44 MCG (HALF-TAB),$13.10
LEVOTHYROXINE 50 MCG TAB,$6.92
LEVOTHYROXINE 75 MCG TAB,$6.96
LEVOTHYROXINE 75 MCG TAB,$6.96
LEVOTHYROXINE 88 MCG TAB,$6.85
LEVOTHYROXINE 88 MCG TAB,$7.03
LEVOTHYROXINE 88 MCG TAB,$6.89
LIDOCAINE 1 % (10 MG/ML) INJECTION,$47.80
LIDOCAINE 1 % (10 MG/ML) INJECTION,$49.62
LIDOCAINE 1 % (10 MG/ML) INJECTION,$51.51
LIDOCAINE 1 % (10 MG/ML) INJECTION,$46.96
LIDOCAINE 1 % (10 MG/ML) INJECTION,$47.54
LIDOCAINE 2 % (20 MG/ML) INJECTION,$50.89
LIDOCAINE 2 % (20 MG/ML) INJECTION,$44.26
LIDOCAINE 2 % (20 MG/ML) INJECTION,$48.88
LIDOCAINE 2 % (20 MG/ML) INJECTION,$47.77
LIDOCAINE 2 % (20 MG/ML) INJECTION,$50.89
LIDOCAINE 2 % MUCOSAL GEL,$43.09
LIDOCAINE 2 % MUCOSAL GEL,$40.67
LIDOCAINE 2 % MUCOSAL GEL,$43.72
LIDOCAINE 2 % MUCOSAL SOLN,$9.27
LIDOCAINE 2 % MUCOUS MEMBRANE JELLY IN APPLICATOR,$43.02
LIDOCAINE 2 % MUCOUS MEMBRANE JELLY IN APPLICATOR,$21.17
LIDOCAINE 4 % MUCOSAL SOLN,$31.99
LIDOCAINE 4 % TOPICAL CREAM KIT (BUNDLED),$37.07
LIDOCAINE 4 % TOPICAL SOLN,$58.53
LIDOCAINE 5 % (700 MG/PATCH) ADHESIVE PATCH,$26.03
LIDOCAINE 5 % (700 MG/PATCH) ADHESIVE PATCH,$26.35
LIDOCAINE 5 % OINTMENT,$75.25
LIDOCAINE 5 % OINTMENT,$163.13
LIDOCAINE HCL (PF) 10 MG/ML INJECTION,$50.53
LIDOCAINE HCL (PF) 10 MG/ML INJECTION,$48.39
LIDOCAINE HCL (PF) 10 MG/ML INJECTION,$47.14
LIDOCAINE HCL (PF) 10 MG/ML IV SYRINGE,$59.41
LIDOCAINE HCL (PF) 20 MG/ML INJECTION,$53.23
LIDOCAINE HCL (PF) 20 MG/ML INJECTION,$50.99
LIDOCAINE HCL (PF) 20 MG/ML INJECTION,$49.72
LIDOCAINE HCL (PF) 20 MG/ML INJECTION,$50.99
LIDOCAINE HCL (PF) 20 MG/ML IV SYRINGE,$50.21
LIDOCAINE HCL (PF) 20 MG/ML IV SYRINGE,$56.45
LIDOCAINE HCL (PF) 5 MG/ML INJECTION,$52.03
LIDOCAINE HCL IN D5W (PF) 4 MG/ML IV,$128.13
"LIDOCAINE-EPINEPHRINE 1 %-1:100,000 INJECTION",$51.38
"LIDOCAINE-EPINEPHRINE 1 %-1:100,000 INJECTION",$51.48
"LIDOCAINE-EPINEPHRINE 1 %-1:100,000 INJECTION",$50.83
"LIDOCAINE-EPINEPHRINE 1 %-1:100,000 INJECTION",$49.40
"LIDOCAINE-EPINEPHRINE 1 %-1:200,000 INJECTION",$64.15
"LIDOCAINE-EPINEPHRINE 1.5 %-1:200,000 INJECTION - BUNDLED",$49.59
"LIDOCAINE-EPINEPHRINE 2 %-1:100,000 INJECTION",$52.94
"LIDOCAINE-EPINEPHRINE 2 %-1:100,000 INJECTION",$50.73
"LIDOCAINE-EPINEPHRINE 2 %-1:100,000 INJECTION",$52.71
"LIDOCAINE-EPINEPHRINE 2 %-1:200,000 INJECTION (BUNDLED ERX)",$60.86
"LIDOCAINE-EPINEPHRINE 2 %-1:200,000 INJECTION (BUNDLED ERX)",$148.00
LIDOCAINE-MAD 2% KIT,$30.67
LIDOCAINE-PRILOCAINE 2.5 %-2.5 % TOPICAL CREAM,$39.17
LIDOCAINE-PRILOCAINE 2.5 %-2.5 % TOPICAL CREAM,$70.64
LIDOCAINE-PRILOCAINE 2.5 %-2.5 % TOPICAL CREAM,$170.45
LIDOCAINE-PRILOCAINE 2.5 %-2.5 % TOPICAL CREAM,$71.84
LIDOCAINE-PRILOCAINE 2.5 %-2.5 % TOPICAL CREAM,$33.92
LINACLOTIDE 290 MCG CAPSULE,$46.47
LINAGLIPTIN 5 MG TAB,$29.57
LINCOMYCIN 300 MG/ML INJECTION,$224.54
LINEZOLID 600 MG TAB (ROPH),$192.55
LINEZOLID 600 MG TAB (ROPH),$342.83
LINEZOLID 600 MG/300 ML IV (ROPH),$664.93
LIOTHYRONINE 12.5 MCG (HALF-TAB),$15.55
LIOTHYRONINE 2.5 MCG (HALF-TAB),$14.89
LIOTHYRONINE 25 MCG TAB,$9.30
LIOTHYRONINE 5 MCG TAB,$8.64
LIOTRIX 3.1 MCG-12.5 MCG TAB,$7.97
"LIPASE-PROTEASE-AMYLASE 5,000-17,000-27,000 UNIT CAP, DELAY REL",$7.94
LISINOPRIL 1.25 MG (HALF-TAB),$12.56
LISINOPRIL 10 MG TAB,$6.71
LISINOPRIL 10 MG TAB,$6.68
LISINOPRIL 2.5 MG TAB,$6.68
LISINOPRIL 20 MG TAB,$6.71
LISINOPRIL 20 MG TAB,$6.68
LISINOPRIL 20 MG TAB,$6.90
LISINOPRIL 20 MG TAB,$6.90
LISINOPRIL 40 MG TAB,$6.85
LISINOPRIL 5 MG TAB,$6.82
LISINOPRIL 5 MG TAB,$6.68
LITHIUM CARBONATE 150 MG (HALF-TAB),$13.35
LITHIUM CARBONATE 300 MG CAP,$6.71
LITHIUM CARBONATE 300 MG TAB,$7.10
LITHIUM CARBONATE SR 300 MG TAB,$7.45
LITHIUM CARBONATE SR 450 MG TAB,$8.01
LITHIUM CITRATE 8 MEQ/5 ML ORAL SOLN,$47.75
LODOXAMIDE TROMETHAMINE 0.1 % EYE DROPS,$258.23
LOMUSTINE 10 MG CAP,$52.94
LOMUSTINE 100 MG CAP,$172.42
LOPERAMIDE 1 MG/5 ML ORAL LIQUID,$11.30
LOPERAMIDE 1 MG/7.5 ML ORAL LIQUID,$12.00
LOPERAMIDE 2 MG CAP,$6.89
LOPINAVIR-RITONAVIR 200 MG-50 MG TAB,$25.99
LOPINAVIR-RITONAVIR 400 MG-100 MG/5 ML ORAL SOLN,"$1,205.55"
LORATADINE 10 MG TAB,$7.76
LORATADINE 10 MG TAB,$7.17
LORATADINE 5 MG (HALF-TAB),$15.62
LORATADINE-PSEUDOEPHEDRINE SR 5 MG-120 MG 12 HR TAB,$10.32
LORATADINE-PSEUDOEPHEDRINE SR 5 MG-120 MG 12 HR TAB,$10.07
LORAZEPAM 0.25 MG (HALF-TAB),$13.04
LORAZEPAM 0.5 MG TAB,$15.18
LORAZEPAM 1 MG TAB,$15.18
LORAZEPAM 2 MG TAB,$15.21
LORAZEPAM 2 MG TAB,$15.45
LORAZEPAM 2 MG/ML INJECTION,$43.60
LORAZEPAM 2 MG/ML INJECTION,$43.53
LORAZEPAM 2 MG/ML INJECTION,$47.10
LORAZEPAM 2 MG/ML INJECTION,$47.14
LORAZEPAM 2 MG/ML INJECTION,$43.39
LORAZEPAM 2 MG/ML ORAL CONCENTRATE,$85.20
LORAZEPAM 2 MG/ML ORAL CONCENTRATE,$16.17
LORAZEPAM 2 MG/ML SYRINGE,$47.80
LORAZEPAM 2MG/ML INJECTION (PEDS),$43.60
LORAZEPAM 2MG/ML INJECTION (PEDS),$43.53
LORAZEPAM 2MG/ML INJECTION (PEDS),$47.10
LORAZEPAM 2MG/ML INJECTION (PEDS),$47.14
LORAZEPAM 4 MG/ML INJECTION,$62.22
LORAZEPAM 4 MG/ML INJECTION,$44.43
LOSARTAN 100 MG TAB,$6.77
LOSARTAN 12.5 MG (HALF-TAB),$6.76
LOSARTAN 25 MG TAB,$6.76
LOSARTAN 50 MG TAB,$6.86
LOSARTAN-HYDROCHLOROTHIAZIDE 50 MG-12.5 MG TAB,$7.87
"LOTEPREDNOL ETABONATE 0.5 % EYE DROPS, SUSP",$188.24
LOXAPINE 25 MG CAP,$15.60
LUBIPROSTONE 24 MCG CAP,$17.77
LURASIDONE 20 MG TAB,$75.20
MAFENIDE 85 MG/G TOPICAL CREAM,$179.94
MAGNESIUM (TPN) INJECTION - ROPH,$45.30
"MAGNESIUM CHLORIDE 64 MG TAB, DELAYED RELEASE",$6.75
MAGNESIUM CITRATE ORAL SOLN,$47.41
MAGNESIUM HYDROXIDE 400 MG/5 ML ORAL SUSP,$13.85
MAGNESIUM OXIDE 200 MG (HALF-TAB),$13.00
MAGNESIUM OXIDE 400 MG TAB,$6.75
MAGNESIUM SULFATE 2 G/50 ML IV PIGGYBACK (BUNDLED ERX),$128.13
MAGNESIUM SULFATE 4 G/50 ML IV PIGGYBACK (COMBO ERX),$128.13
MAGNESIUM SULFATE 4 GRAM/100 ML IV PIGGY BACK,$128.13
MAGNESIUM SULFATE 50 % (4 MEQ/ML) INJECTION,$45.30
MAGNESIUM SULFATE 50 MG/ML INJECTION DILUTION (PEDS) (ROPH),$195.00
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PIGGY BACK,$128.13
MAGNESIUM SULFATE IN NORMAL SALINE 2 GRAM/50 ML IV,$128.13
MANNITOL 20 % IV SOLN,$128.13
MANNITOL 20% INJECTION (PEDS),$128.13
MANNITOL 25 % IV,$46.37
MANNITOL 25 % IV,$46.37
"MEASLES,MUMPS&RUBELLA VACCIN(PF) 1,000-12,500 TCID50/0.5 ML SUB-Q SUSP",$204.16
MECLIZINE 12.5 MG TAB,$6.64
MECLIZINE 12.5 MG TAB,$8.04
MECLIZINE 25 MG TAB,$8.36
MECLIZINE 6.25 MG (HALF-TAB),$13.10
MECLOFENAMATE 100 MG CAP,$14.59
MECLOFENAMATE 50 MG CAP,$8.04
MEDROXYPROGESTERONE (CONTRACEPTIVE) 150 MG/ML IM SUSP,$243.43
MEDROXYPROGESTERONE 1.25 MG (HALF-TAB),$12.93
MEDROXYPROGESTERONE 10 MG TAB,$6.75
MEDROXYPROGESTERONE 2.5 MG TAB,$6.68
MEDROXYPROGESTERONE 400 MG/ML IM,$530.40
MEDROXYPROGESTERONE 5 MG TAB,$10.84
MEFENAMIC ACID 250 MG CAP,$49.30
MEGESTROL 20 MG (HALF-TAB),$13.52
MEGESTROL 40 MG TAB,$7.27
MEGESTROL 400 MG/10 ML (10 ML) ORAL SUSP,$17.35
MELATONIN 3 MG TAB,$8.08
MELATONIN 5 MG TAB,$8.29
MELOXICAM 15 MG TAB,$6.99
MELOXICAM 15 MG TAB,$7.19
MELOXICAM 7.5 MG TAB,$6.89
MELPHALAN 1 MG (HALF-TAB),$28.08
MELPHALAN 2 MG TAB,$32.24
MEMANTINE 10 MG TAB,$16.34
MEMANTINE 5 MG TAB,$17.11
MENTHOL 5 MG LOZENGES,$22.09
MEPERIDINE (PF) 100 MG/ML INJECTION,$43.04
MEPERIDINE (PF) 100 MG/ML SYRINGE,$44.83
MEPERIDINE (PF) 50 MG/ML INJECTION,$43.18
MEPERIDINE (PF) 75 MG/ML SYRINGE,$44.97
MEPERIDINE 100 MG TAB,$22.47
MEPERIDINE 50 MG TAB,$16.08
MEPIVACAINE (PF) 10 MG/ML (1 %) INJECTION,$55.77
MEPIVACAINE (PF) 20 MG/ML (2 %) INJECTION,$59.89
MEPIVACAINE 1 % INJECTION,$58.33
MEPIVACAINE 2 % INJECTION,$73.02
MEPROBAMATE 200 MG (HALF-TAB),$16.39
MEPROBAMATE 400 MG TAB,$10.14
MERCAPTOPURINE 25 MG (HALF-TAB),$21.82
MERCAPTOPURINE 50 MG TAB,$11.54
MEROPENEM 1 G IV SOLUTION,$211.77
MEROPENEM 500 MG IV SOLUTION,$91.58
"MESALAMINE 1,000 MG RECTAL SUPPOSITORY",$42.67
MESALAMINE 4 G/60 ML ENEMA,$27.47
MESALAMINE 4 G/60 ML ENEMA,$27.47
"MESALAMINE 400 MG CAPSULE, DELAYED RELEASE",$13.54
"MESALAMINE 400 MG CAPSULE, DELAYED RELEASE",$23.41
MESALAMINE CR 250 MG CAP,$9.37
MESNA 100 MG/ML IV,$84.63
METAXALONE 800 MG TAB,$16.09
METFORMIN 250 MG (HALF-TAB),$13.07
METFORMIN 500 MG TAB,$6.82
METFORMIN 500 MG TAB,$6.85
METFORMIN 850 MG TAB,$7.31
METFORMIN SR 500 MG 24 HR TAB,$6.78
METFORMIN SR 750 MG 24 HR TAB,$10.49
METHADONE 10 MG TAB,$15.75
METHADONE 5 MG TAB,$15.60
METHADONE 5 MG TAB,$15.60
METHAZOLAMIDE 25 MG (HALF-TAB),$13.21
METHAZOLAMIDE 25 MG TAB,$11.54
METHAZOLAMIDE 50 MG TAB,$16.55
METHENAMINE HIPPURATE 1 G TAB,$12.77
METHENAMINE MANDELATE 0.25 G (HALF-TAB),$13.38
METHENAMINE MANDELATE 0.5 G TAB,$9.02
METHIMAZOLE 10 MG TAB,$7.69
METHIMAZOLE 2.5 MG (HALF-TAB),$13.10
METHIMAZOLE 5 MG TAB,$6.85
METHOCARBAMOL 250 MG (HALF-TAB),$12.35
METHOCARBAMOL 500 MG TAB,$6.96
METHOCARBAMOL 750 MG TAB,$6.92
METHOHEXITAL 0.5 G IV SOLUTION,$138.38
METHOTREXATE NA (PRESERV FREE) 25 MG/ML INJECTION,$53.49
METHOTREXATE SODIUM 2.5 MG TAB,$8.88
METHOTREXATE SODIUM 25 MG/ML INJECTION,$50.86
METHYL SALICYLATE-MENTHOL 15 %-10 % TOPICAL CREAM,$34.86
METHYL SALICYLATE-MENTHOL OINTMENT,$24.12
METHYLCELLULOSE (WITH SUGAR) ORAL POWDER,$49.74
METHYLDOPA 125 MG (HALF-TAB),$13.24
METHYLDOPA 250 MG TAB,$6.99
METHYLDOPA 250 MG TAB,$6.99
METHYLDOPA 500 MG TAB,$7.31
METHYLDOPATE 250 MG/5 ML IV,$167.34
METHYLENE BLUE (ANTIDOTE) 1 % INJECTION,$447.59
METHYLENE BLUE (ANTIDOTE) 5 MG/ML (0.5 %) INTRAVENOUS SOLUTION,$531.83
METHYLENE BLUE 1 % INJ - CONTRAST ,$53.00
METHYLERGONOVINE MALEATE 0.2 MG TAB,$9.83
METHYLERGONOVINE MALEATE 0.2 MG/ML INJECTION,$77.28
METHYLNALTREXONE 12 MG/0.6 ML SUB-Q,$156.03
METHYLPHENIDATE 2.5 MG (HALF-TAB),$13.79
METHYLPHENIDATE 5 MG TAB,$15.18
METHYLPREDNISOLONE 1 MG (HALF-TAB),$9.08
"METHYLPREDNISOLONE 1,000 MG SOLUTION FOR INJECTION",$85.86
METHYLPREDNISOLONE 125 MG SOLUTION FOR INJECTION,$53.17
METHYLPREDNISOLONE 2 MG TAB,$15.33
METHYLPREDNISOLONE 4 MG TAB,$7.03
METHYLPREDNISOLONE 40 MG SOLUTION FOR INJECTION,$51.93
METHYLPREDNISOLONE 40 MG/ML INJECTION (PEDS),$60.63
METHYLPREDNISOLONE 40 MG/ML INJECTION (PEDS),$49.59
METHYLPREDNISOLONE 40 MG/ML SUSP FOR INJECTION,$64.93
METHYLPREDNISOLONE 500 MG SOLUTION FOR INJECTION,$67.73
METHYLPREDNISOLONE 80 MG/ML SUSP FOR INJECTION,$65.00
METHYLPREDNISOLONE 80 MG/ML SUSP FOR INJECTION,$60.28
METHYLPREDNISOLONE SOD SUCC (PF) 40 MG/ML SOLUTION FOR INJECTION,$60.63
METHYLPREDNISOLONE SOD SUCC (PF) 40 MG/ML SOLUTION FOR INJECTION,$49.59
METHYLPREDNISOLONE SOD SUCC-PF 125 MG/2 ML INJ,$52.71
METHYLPREDNISOLONE SOD SUCC-PF 125 MG/2 ML INJ,$52.68
METHYLPREDNISOLONE SOD SUCC-PF 125 MG/2 ML INJ,$52.68
METOCLOPRAMIDE 10 MG TAB,$6.75
METOCLOPRAMIDE 5 MG TAB,$6.82
METOCLOPRAMIDE 5 MG/5 ML ORAL SOLN,$7.68
METOCLOPRAMIDE 5 MG/ML INJECTION,$47.90
METOCLOPRAMIDE 5 MG/ML INJECTION,$47.90
METOCLOPRAMIDE 5 MG/ML INJECTION,$52.86
METOLAZONE 10 MG TAB,$8.25
METOLAZONE 2.5 MG TAB,$7.90
METOLAZONE 5 MG TAB,$10.81
METOPROLOL 100 MG TAB,$6.71
METOPROLOL 12.5 MG (HALF-TAB),$12.21
METOPROLOL 25 MG TAB,$6.68
METOPROLOL 5 MG/5 ML IV,$46.18
METOPROLOL 5 MG/5 ML IV,$51.28
METOPROLOL 5 MG/5 ML IV,$47.48
METOPROLOL 5 MG/5 ML IV,$47.48
METOPROLOL 5 MG/5 ML IV,$46.93
METOPROLOL 5 MG/5 ML IV,$54.69
METOPROLOL 50 MG TAB,$6.64
METOPROLOL 6.25 MG (QUARTER-TAB),$12.86
METOPROLOL SR 100 MG 24 HR TAB,$11.96
METOPROLOL SR 100 MG 24 HR TAB,$10.77
