Charge description, Average charge/unit , Average self-pay charge/unit (30% discount) 
METHYLFOLATE 7.5MG CAP, $19.20 , $13.44 
METOCLOPRAMIDE 10MG/10ML UD CUP, $17.00 , $11.90 
METOPROLOL 5MG/5ML SDV, $51.82 , $36.27 
METOPROLOL=TOPROL XL 100 MG TAB, $11.16 , $7.81 
METRONIDAZOLE=FLAGYL 500 MG IV, $50.37 , $35.26 
MIDAZOLAM 125MG/D5W 125ML DRIP, $340.40 , $238.28 
MIDAZOLAM DRIP 100MG/100ML NS, $383.93 , $268.75 
MINERAL OIL PER ML, $0.14 , $0.10 
MINERAL OIL STERILE 10 ML SDV, $141.46 , $99.02 
MINI-DRIVER, $108.68 , $76.08 
MISOPROSTOL 25MCG VAGINAL TABLET, $9.90 , $6.93 
M-M-R VACCINE SDV, $435.20 , $304.64 
MOMETASONE 0.1% CREAM 45 GRAM, $491.10 , $343.77 
MONOCRYL 4-0 Y426H, $122.80 , $85.96 
MONOCRYL 5-0 Y493G, $140.24 , $98.17 
MONTELUKAST=SINGULAIR 4 MG CHEW, $8.80 , $6.16 
MORPHINE 0.4MG/ML SOLUTION (NRSY), $0.03 , $0.02 
MULTITRACE CONC 1ML VIAL, $192.89 , $135.03 
MULTIVIT W/IRON 1 ML SOLN, $2.30 , $1.61 
MULTIVITAMIN 10ML SDV, $165.90 , $116.13 
MULTIVITAMIN ORAL SOL PER 1ML, $0.31 , $0.22 
MUPIROCIN 2% CREAM, $119.70 , $83.79 
MUPIROCIN 2% TOPICAL OINTMENT, $427.08 , $298.96 
MYCOPHENOLATE MOFE 200MG/ML SOLN, $37.43 , $26.20 
NAFCIL (NAFCILLIN NA) 1 GRAM, $172.70 , $120.89 
NAFCIL (NAFCILLIN NA) 2 GRAMS, $304.10 , $212.87 
NALBUPHINE 10MG/0.5ML SYRINGE, $129.10 , $90.37 
NALBUPHINE 20MG/1ML INJ, $97.06 , $67.94 
NEOSPORIN GU IRRIGANT 1 ML AMP, $176.90 , $123.83 
NEOSPORIN TOPICAL OINTMENT, $29.30 , $20.51 
NEUT 4% 5 ML VIAL, $108.28 , $75.79 
NICARDIPINE=CARDENE 25MG AMP, $284.05 , $198.84 
NITROFURANTION 25MG/5ML PER ML, $18.18 , $12.72 
NITROGLYCERIN 25 MG/250 D5W IVPB, $219.14 , $153.40 
NITROGLYCERIN 5MG/ML SDV, $210.00 , $147.00 
NITROLINGUAL AEROSOL .4MG/DOSE," $1,081.00 ", $756.70 
NITROPRUSSIDE 50MG VIAL," $4,721.08 "," $3,304.75 "
NITROSTAT 0.4MG, $25.00 , $17.50 
NORCURON 10MG/5ML VIAL, $105.66 , $73.97 
NOREPINEPHRINE 4MG/250ML 0.9% NS, $498.43 , $348.90 
NOREPINEPHRINE 4MG/4ML SDV, $260.70 , $182.49 
NOREPINEPHRINE 4MG/D5 250M PMIX, $506.70 , $354.69 
NS (DEHP FREE) 250 ML IVPB, $54.57 , $38.20 
NS IRRIG POUR BTL 500ML, $19.16 , $13.42 
NS IRRIGATION 250ML, $12.87 , $9.01 
NS/KETOROLAC/EPI/CLONID/ROPIV ADM," $1,559.30 "," $1,091.51 "
NUV 5010020 FORMAGRAFT GRANULES, $100.37 , $70.26 
NUV 8061100, $19.09 , $13.36 
NYLON 11-0 AA-0130, $129.31 , $90.52 
NYSTATIN CREAM 30 GM, $305.60 , $213.92 
OCUFLOX 0.3% O/S 5ML, $222.00 , $155.40 
OPIUM W/BELLADONNA (B&O) SUPP," $2,532.70 "," $1,772.89 "
OSELTAMIVIR 6MG/ML 1 ML SUSP, $14.53 , $10.17 
OXYCODONE 5MG/5ML SOLUTION, $41.64 , $29.15 
OXYCODONE/APAP 10/325 MG TABLET, $181.13 , $126.79 
OXYCODONE=OXYCONTIN 15 MG TAB, $471.97 , $330.38 
PAINEASE TOPICAL SPRAY 30ML, $134.30 , $94.01 
PALIPERIDONE 3MG ER TAB, $150.87 , $105.61 
PALOMOSETRON 0.05MG/ML 5ML SDV," $2,601.60 "," $1,821.12 "
PANCRELIPASE DR 5000 UNITS, $11.95 , $8.37 
PANTOPRAZOLE=PROTONIX 40MG SUSP, $96.48 , $67.54 
PARICALCITOL=ZEMPLAR 1 MCG TAB, $76.70 , $53.69 
PDS 0 Z340H, $8.19 , $5.73 
PENTAMIDINE=NEBUPENT 300 MG INH," $1,075.80 ", $753.06 
PETROLATUM 30GM OINTMENT, $24.50 , $17.15 
"PETROLATUM, WHITE 5 GM TOPICAL", $12.10 , $8.47 
PH CYANOCOBALAMIN 1000 MCG/ML, $46.20 , $32.34 
PH DEXAMETHASONE 10MG INJ, $50.20 , $35.14 
PH DEXAMETHASONE 10MG INJ, $50.20 , $35.14 
PH DEXAMETHASONE 4MG INJ, $48.20 , $33.74 
PH DIPHENHYDRAMIN 50MG/ML INJ, $69.30 , $48.51 
PH DIPHENHYDRAMINE 50MG/MLINJ, $69.30 , $48.51 
PH FAMOTIDINE (PEPCID) IV, $38.83 , $27.18 
PHARMACY FAMOTIDINE 20MG TABLET, $1.80 , $1.26 
PHENYLEPHRINE 1000MCG/10ML SYR, $151.20 , $105.84 
PHENYLEPHRINE 30MG/NS 500ML PREMI, $327.54 , $229.28 
PHENYTION 125MG/5ML PER ML, $4.49 , $3.14 
PIPERONYL BUTOXIDE/PYRETHRINS SHA, $29.70 , $20.79 
PIPH LIDOCAINE 10MG, $56.30 , $39.41 
PIPH MARCAINE, $50.60 , $35.42 
PITRESSIN 20U/ML 1 ML AMPULE, $712.79 , $498.95 
"PLATE,Y"," $1,732.80 "," $1,212.96 "
PLEGISOL 1000 ML, $418.73 , $293.11 
PNEUMOCOCCAL 13 VACCINE 0.5ML," $1,030.46 ", $721.32 
POLYSORB 5-0 SL-636, $191.73 , $134.21 
POT ACETATE 20 MEQ/50 ML NS, $63.20 , $44.24 
POT PEN G 2.5 MU/50 ML NS IVPB, $81.07 , $56.75 
POT PHOS 30 MMOL/250 ML NS IVPB, $253.40 , $177.38 
POT PHOSPHATES 20 MEQ/50 ML NS, $112.68 , $78.88 
POTASSIUM ACETATE 2MEQ/ML 20ML, $148.21 , $103.74 
POTASSIUM CHL 20MEQ/15ML PER ML, $2.97 , $2.08 
POTASSIUM CHLORIDE 2 MEQ/ML 1 ML, $2.65 , $1.85 
POTASSIUM PHOSPHATE 3MM/ML, $264.89 , $185.43 
PRAMIPXOLE=MIRAPEX 1 MG TAB, $2.51 , $1.76 
PRASUGREL 10MG TAB, $95.66 , $66.96 
PREDNISOLONE 1% OPHTH SUSP, $541.45 , $379.02 
PREDNISOLONE 15MG/5ML PER ML, $0.67 , $0.47 
PREGABALIN=LYRICA 50 MG CAP, $55.85 , $39.10 
PREMARIN VAG CREAM 0.625MG/GM," $1,880.58 "," $1,316.40 "
PROMETHAZINE VC PER ML, $2.56 , $1.79 
PROPAFENONE SR=RYTHMOL SR 225 MG, $46.80 , $32.76 
PROPAFENONE=RYTHMOL 225 MG TAB, $9.90 , $6.93 
PROPARACAINE HCL 0.5% 2 ML GTT, $462.80 , $323.96 
PROPOFOL 10 MG/ML 100 ML IVPB, $568.08 , $397.66 
PROPOFOL 500MG/50ML SDV, $128.20 , $89.74 
PROPRANOLOL 20MG/5ML PER ML, $0.95 , $0.66 
PROTAMINE 10MG/ML 25 ML SDV, $296.13 , $207.29 
PSEUDOEPHEDRINE 30MG/5ML PER ML, $0.24 , $0.17 
RISPERDAL CONSTA KT 50MG," $5,007.72 "," $3,505.40 "
SCREW 3.5MMX34MM LKN EVOS,#DIV/0!,#DIV/0!
SMI 71653432 TRIGEN FEMORAL NAIL, $1.30 , $0.91 
SMI 71655135 TRIGEN TIBIAL NAIL, $47.86 , $33.50 
SOFSILK O-S-306, $267.60 , $187.32 
STR 509-02-721 REV SHELL, $14.32 , $10.02 
STR 53-27612E LOCKING SCREW, $61.50 , $43.05 
STR 6481-2-140 REV TIB SLEEVE, $543.62 , $380.54 
STR 6481-3-210 REV TIBIAL INSERT, $129.95 , $90.96 
STR 6495-2-105 REV BUSHING, $113.80 , $79.66 
STR 6495-6-100 REV EXT PIECE, $42.00 , $29.40 
SUM 04.632.000 TITANIUM CAP, $9.60 , $6.72 
SURGI-CLIP II [13.0]-LARGE, $23.30 , $16.31 
SURGIGUT 1-0 CG-813, $0.48 , $0.33 
SURGIGUT 2-0 G-3, $133.50 , $93.45 
SURGIPRO 0 CP-454," $2,031.00 "," $1,421.70 "
SYN 02.123.021 LCP HUMEROUS PLATE, $0.82 , $0.57 
SYN 02.124.201 PROX TIBIA PLATE, $25.15 , $17.61 
SYN 02.210.118 VA LOCK SCREW, $130.75 , $91.53 
SYN 02.211.255 VA-LCP PLATE, $125.51 , $87.86 
SYN 04.636.040 CURVED ROD, $342.56 , $239.79 
SYN 207.750 4.0 CANN SCREW, $28.26 , $19.78 
SYN 208.431 CANNULATED SCREW, $99.43 , $69.60 
SYN 282.641 LCP DHHS SIDEPLATE, $85.10 , $59.57 
SYN 294.950 FIXATION PIN, $36.40 , $25.48 
SYN 390.005 LG COMBO CLAMP, $49.16 , $34.41 
SYN 390.008 LG ADJUST CLAMP, $46.66 , $32.66 
SYN 394.87 11.0 CARBON ROD, $11.90 , $8.33 
SYN 458.936 36MM LOCKING SCREW, $1.44 , $1.01 
"TRAY,CANNULATED SCREW 6.5-8.0MM", $109.06 , $76.34 
"TRAY,COMMAND SYS,STARTER SET", $56.92 , $39.85 
"TRAY,DR FRY LAMI", $20.99 , $14.69 
"TRAY,OSTEONICS ACETABULAR REAMERS", $108.37 , $75.86 
"TRAY,PELVISCOPY", $116.75 , $81.72 
"TRAY,STANDARD PLATES", $109.23 , $76.46 
"TRAY,SYNTHES COMPACT AIR DRIVE II", $244.44 , $171.11 
WIRE MONO DS24," $1,213.80 ", $849.66 
MEDICAL IMAGING CONTRAST, $10.00 , $7.00 
MEDICAL IMAGING CONTRAST, $156.78 , $109.74 
PHARMACY NUCLEAR MEDICINE," $2,766.00 "," $1,936.20 "
0 BIO 150352 REV RESURF FEM COMP, $76.09 , $53.27 
0.45% SODIUM CHLORIDE 1000ML, $48.81 , $34.17 
0.45% SODIUM CHLORIDE 50 ML, $68.10 , $47.67 
0.45% SODIUM CHLORIDE 500ML, $50.20 , $35.14 
0.9% N S 50 CC, $42.15 , $29.51 
0.9% N S 500 CC, $56.35 , $39.45 
0.9% NS + 20 MEQ/L KCL 1000 ML, $30.78 , $21.55 
0.9% SODIUM CHLORIDE 1000 ML, $61.78 , $43.25 
0.9% SODIUM CHLORIDE 100ML, $43.13 , $30.19 
5% DEXTROSE 0.225% NS 1000 CC, $48.96 , $34.28 
5% DEXTROSE 0.45% NS 1000 CC, $47.26 , $33.08 
5% DEXTROSE 0.45% NS 500 CC, $53.97 , $37.78 
AMINOSYN II 10% 500 ML IV SOL., $233.73 , $163.61 
CA GLUCONATE 1 GM/100 ML NS, $175.69 , $122.98 
D5/LR 500 ML, $50.20 , $35.14 
DEX 5% 0.9% NS 1000 CC, $48.40 , $33.88 
DEX 5% LR 1000 CC, $46.92 , $32.85 
DEXTROSE 10% 1000 CC, $46.11 , $32.28 
DEXTROSE 10% 500 CC, $45.26 , $31.68 
DEXTROSE 20% 500 ML, $161.80 , $113.26 
DEXTROSE 5% 0.225NS 500 CC, $58.08 , $40.65 
DEXTROSE 5% 100 CC, $42.12 , $29.48 
DEXTROSE 5% 1000 CC, $49.73 , $34.81 
DEXTROSE 5% 250 CC, $53.49 , $37.44 
DEXTROSE 5% 50 CC, $40.50 , $28.35 
DEXTROSE 5% 500 CC, $57.58 , $40.31 
DEXTROSE 50% 1000 ML, $122.70 , $85.89 
DEXTROSE 50% 500 ML, $166.70 , $116.69 
DEXTROSE 70% 500 ML, $54.40 , $38.08 
FAT EMULSION III 20% 500 ML, $646.66 , $452.67 
HESPAN I.V. 6% 500 ML BAG, $240.30 , $168.21 
LACTATED RINGERS 1000 CC, $44.82 , $31.37 
LACTATED RINGERS 1000ML, $42.90 , $30.03 
LACTATED RINGERS 500 CC, $45.58 , $31.91 
MANNITOL 20% 500 CC, $315.45 , $220.82 
NS 0.9% 250 ML, $54.39 , $38.07 
PHARMACY STERILE SALINE SOLUTION, $2.10 , $1.47 
STR 54-25376 VOLAR LOCK PLATE, $64.69 , $45.28 
ADSORBONAC 5% OPTH SOL 15ML, $98.00 , $68.60 
SYN 04.632.645 MATRIX SCREW, $108.34 , $75.84 
IV INFUSION CONCURRENT , $43.00 , $30.10 
IV INFUSION EA ADDL HOUR, $67.00 , $46.90 
IV INFUSION SEQUENTIAL , $111.00 , $77.70 
THERAPEUTIC PROPHYLACTIC INJ, $111.00 , $77.70 
70211231 ZIM 7871-01-10 VERSYS BUILD/BLK, $128.00 , $89.60 
MEDICAL IMG SUPPLIES GUIDEWIRE, $18.00 , $12.60 
ZIM R8018-28-02 FEM HEAD TAPER, $148.00 , $103.60 
AEROSOL/HUMD CONT. WITH OXYGEN, $526.00 , $368.20 
HIGH FLOW CONT OXYGEN DAILY, $662.00 , $463.40 
OXYGEN, $552.00 , $386.40 
OXYGEN DAILY, $552.00 , $386.40 
CATHETER OCCLUSION, $892.00 , $624.40 
CATHETER THROMBECTOMY/EMBOLECTOMY," $1,607.00 "," $1,124.90 "
"CATHETER,BALLOON DILATATION,EGD/C", $975.00 , $682.50 
"CATHETER,BALLOON DILATATION,ERCP"," $1,276.00 ", $893.20 
COMPRESSION STOCKING, $45.00 , $31.50 
DRAINAGE/DIAGNOSTIC CATHETER, $85.00 , $59.50 
EMPTY 3-IN-1 MIXING CONT, $73.20 , $51.24 
EMPTY FLEXIABLE CONTAINER 250ML, $50.20 , $35.14 
EVACUATED CONTAINER 1000ML, $129.80 , $90.86 
HEMODIALYSIS CATHETER," $1,350.00 ", $945.00 
HEMODIALYSIS CATHETER SHORT TERM," $1,350.00 ", $945.00 
MEDICAL IMAGING SUPPLIES CATH SET, $934.00 , $653.80 
MEDICAL IMAGING SUPPLIES CATHETER, $876.00 , $613.20 
MEDICAL IMAGING SUPPLIES CATHETER," $2,344.00 "," $1,640.80 "
MEDICAL IMAGING SUPPLIES NEEDLE, $112.00 , $78.40 
MEDICAL IMG SUP CRYOABLATION KIT," $4,950.00 "," $3,465.00 "
MEDICAL IMG SUPPLIES CLOSURE DEV," $1,085.00 ", $759.50 
MEDICAL IMG SUPPLIES INTRODUCER, $131.00 , $91.70 
PACEMAKER INTRODUCER, $328.00 , $229.60 
PEG TUBE, $362.00 , $253.40 
DUAL CHAMBER PACEMAKER," $15,809.00 "," $11,066.30 "
MEDICAL IMG SUP PACEMAKER LEAD," $3,159.00 "," $2,211.30 "
SINGLE CHAMBER PACEMAKER," $14,136.00 "," $9,895.20 "
0 ART AR-8952MC-SL MED COLNM PLT SM, $838.00 , $586.60 
0 BIO TOT HIP W/REV HEAD & CUP, $341.00 , $238.70 
0 NEV ACCK5300 N300 LEAD ANCHOR," $7,086.00 "," $4,960.20 "
0 TOR DWF364B RETEN REVSD INSERT," $24,346.40 "," $17,042.48 "
1 ACU 7008-0106 1/3 TUB PLATE, $838.00 , $586.60 
1 BIO 150366 REV BOWED IM STEM W/SC," $3,015.00 "," $2,110.50 "
1 BIO 912031 JUGGERKNOT ANCH SINGLE," $1,173.00 ", $821.10 
1 CAT BOS 109676-001 ANGIOJET," $3,015.00 "," $2,110.50 "
1 COO MWCER-35-14-8 RETRACTA COIL, $743.00 , $520.10 
1 SJM 1743XXXX OCTRODE," $3,015.00 "," $2,110.50 "
2 BAL G50340 COOK ADVANCE BALLOON," $3,015.00 "," $2,110.50 "
2 COO MWCE-35-8/4 TORNADO COIL, $216.00 , $151.20 
2 SYN 02.102.001 UNI LCK STAB PLATE, $590.00 , $413.00 
3 BIO 11-301020 REV BWD STS DIS STM, $362.00 , $253.40 
3 SYN 02.112.08X LCP SUP CLAV PLATE, $331.00 , $231.70 
3 SYN MOD HAND 2.4 TIT T-PLATE, $36.00 , $25.20 
3M ILA CART," $3,459.00 "," $2,421.30 "
3M PI-55," $3,459.00 "," $2,421.30 "
3M PI-55 CART," $3,459.00 "," $2,421.30 "
4 ACU 70-0372 LONG STAND PLATE, $126.00 , $88.20 
4 BIO CM-9145SP QUATTRO ANCHOR," $1,173.00 ", $821.10 
4 SJM MN12050 LEAD ACCESSORY KIT, $118.00 , $82.60 
4WEB CAP SPI COMP TPLIF/TLIF CAGE," $8,550.00 "," $5,985.00 "
4WEB MOBIC-ADR CERVICAL DISC," $15,600.00 "," $10,920.00 "
4WEB SPI COMP CERVICAL CAGE," $2,848.00 "," $1,993.60 "
4WEB SPI COMP CERVICAL CAGE," $3,100.00 "," $2,170.00 "
5 BOS H965404120 WALLSTENT, $180.00 , $126.00 
5 MED 97755 RECHARGER, $419.00 , $293.30 
5 SYN 204.675 3.5 PEL CORT ST SCREW, $335.00 , $234.50 
5 ZIM 5001-53 REV BIPOLAR CUP," $1,173.00 ", $821.10 
6 HER 5036964 PALACOS R+G, $586.00 , $410.20 
6 MED SPI COMP DOMINO CONNECTOR, $239.00 , $167.30 
7 MED 6972660 SOFAMOR DANEK CERV DC, $838.00 , $586.60 
7 SMI 718081XX 6.5 CANC SCREW, $514.00 , $359.80 
7 SMI 72412712 SCREW LOCKING 2.7, $331.00 , $231.70 
7 SURGERY, $599.00 , $419.30 
70210193 SURGIGUT 1-0 CG-813, $590.00 , $413.00 
70210241 WIRE MONO DS24, $79.00 , $55.30 
70210300 CABOT SOFT WAND BALLOON RETRACTOR, $128.00 , $89.60 
70210499 PDS 0 Z340H," $1,001.00 ", $700.70 
70210897 SYN 394.993 PROTECTIVE CAP, $165.00 , $115.50 
70210916 POLYSORB 2-0 CL-843, $138.00 , $96.60 
70210937 STRYKER 2000 BATTERY DRILL, $285.00 , $199.50 
"70211096 TRAY,ANTERIOR CERVICAL,SHADOWLINE"," $1,289.00 ", $902.30 
70211226 ETH EVICEL 5ML, $301.00 , $210.70 
70211356 STR 52-81204 1.2MM SCREWS, $152.00 , $106.40 
70211364 DEP 87-3549 POLY-DIAL LINER, $233.00 , $163.10 
70211415 SYN 04.613.666 VECTRA SCREW, $172.00 , $120.40 
70211417 SYN 498.142 TI-ROD, $176.00 , $123.20 
"70211487 MIC KWIRES 28,35,45,54 & 62", $8.00 , $5.60 
70211493 SYN 202.822 CORTEX SCREW 2.7, $135.00 , $94.50 
70211496 HOW 6704-0-410 CABLE AND SLEEVE, $737.00 , $515.90 
70211519 MES 1000606-00 PROLITE MESH, $155.00 , $108.50 
70211546 TRA TRACH TUBE SHILEY DFEN, $108.00 , $75.60 
70211563 SYN 219.91 WASHER, $110.00 , $77.00 
70211598 SYN 212.818 2.4MM LOCKING SCREW, $449.00 , $314.30 
70211599 SYN 202.874 2.7MM CORTEX SCREW, $158.00 , $110.60 
70211635 ART AR-1934BCFT SUTURE ANCHOR," $1,022.00 ", $715.40 
70211662 SYN 214.836 CORTEX SCREW 4.5MM, $88.00 , $61.60 
70211753 STR 6704-0-510 CABLE & SLEEVE, $737.00 , $515.90 
70211911 SMI 71655135 TRIGEN TIBIAL NAIL," $6,775.00 "," $4,742.50 "
70211929 ACU 70-0288 CLAVICLE PLATE," $3,162.00 "," $2,213.40 "
702120042 FLO 13827 PROMETRA PROGRM PUMP," $23,400.00 "," $16,380.00 "
702120043 FLO 11823 INTRATHECAL CATHETER," $1,508.00 "," $1,055.60 "
702120044 FLO 12860 PAT THERAPY CONTROLLER," $1,843.00 "," $1,290.10 "
702120045 BIO 11-163688 REV STND NECK HI CA," $1,675.00 "," $1,172.50 "
702120047 ZIM 00-6624-065-35 REV ACE CUP SC, $442.00 , $309.40 
702120048 GLO SPI COMP LAMINOPLASTY SCREW, $369.00 , $258.30 
702120053 MED 97745 CONTROLLER," $1,939.60 "," $1,357.72 "
702120054 MED 97725 WIRELESS EXT NEUROSTIM, $502.50 , $351.75 
702120057 NEV LEAD1058-50B BLUE PERC LEAD," $1,675.00 "," $1,172.50 "
702120060 NEV ACCK5300 N300 LEAD ANCHOR, $596.00 , $417.20 
702120063 RTI SPI COMP SET SCREW, $335.00 , $234.50 
8 ATR 85420 ICAST STENT, $335.00 , $234.50 
8 COV SYM9 SYMBOTEX, $436.00 , $305.20 
8 SMI 72403510 SCREW CORTEX 3.5, $838.00 , $586.60 
9 ART AR-9060-XXPT JONES SCREW 6.0, $838.00 , $586.60 
9 MED PAIN CAP PROGRAMMER/HANDSET," $1,256.00 ", $879.20 
ABB 1012530-100 ABSOLUTE PRO STEN, $419.00 , $293.30 
ABB 1012534-40 ABSOLUTE PRO STENT, $543.00 , $380.10 
ABB 1012629-19 OMNILINK ELITE," $3,099.00 "," $2,169.30 "
ABB 1012629-29 OMNILINK ELITE, $374.00 , $261.80 
ABB 1012630-39 OMNILINK ELITE, $422.00 , $295.40 
ABB 1012631-19 OMNILINK ELITE, $842.00 , $589.40 
ABB 1012631-59 OMNILINK ELITE, $899.75 , $629.83 
ABB 1012633-29 OMNILINK ELITE," $3,255.00 "," $2,278.50 "
ABB 1125325-23 STENT XIENCE ALPIN," $3,798.00 "," $2,658.60 "
ABB 1550300-38 STENT XIENCE SIERR," $3,798.00 "," $2,658.60 "
ABB 22438-19 EMBOSHIELD," $4,573.00 "," $3,201.10 "
ABB 82090-01 XACT CAROTID STENT," $2,027.00 "," $1,418.90 "
ABB 82090-01 XACT CAROTID STENT," $6,030.00 "," $4,221.00 "
ABB S-50-040-120-P6 SUPERA," $4,650.00 "," $3,255.00 "
ABB S-55-100-120-P6 SUPERA STENT," $4,805.00 "," $3,363.50 "
ABI 005062 IMPELLA 5.0 PUMP," $65,000.00 "," $45,500.00 "
ACC MX6721 MYNX CLOSURE ART GRIP, $771.00 , $539.70 
ACCU CAUTERY, $493.00 , $345.10 
ACL/PCL SWIVELOCK FIXATION, $733.00 , $513.10 
ACL/PCL SWIVELOCK FIXATION," $2,874.00 "," $2,011.80 "
ACM 2200 LOCKING PLUG," $9,597.00 "," $6,717.90 "
ACM 6545 SCREW, $54.00 , $37.80 
ACM 6545 SCREW," $12,123.00 "," $8,486.10 "
ACT ACTIFUSE ABX 1.5," $1,374.00 ", $961.80 
ACU 3004-230XX HEXALOBE MULTISCRW, $338.00 , $236.60 
ACU 3006-40036 CANN SCREW LG THRD, $419.00 , $293.30 
ACU 3006-40036 CANN SCREW LG THRD, $492.00 , $344.40 
ACU 3013-35016 3.5 HEX VA SCREW, $476.00 , $333.20 
ACU 70-0305 PLATE 5 HOLE, $530.00 , $371.00 
ACU 70-0305 PLATE 5 HOLE," $3,100.00 "," $2,170.00 "
ACU 70-0307 OLECRANON PLATE 7HRT," $3,515.00 "," $2,460.50 "
ACU 70-0338 DORSAL LUNATE PLATE," $2,506.00 "," $1,754.20 "
ACU 70-0357 ACU LOC 2 VDR PLATE," $2,841.00 "," $1,988.70 "
ACU 70-0360 WIDE DIST RAD PLATE," $2,841.00 "," $1,988.70 "
ACU 70-0364 NEUTRAL EXT PLATE," $2,312.00 "," $1,618.40 "
ACU 70-0369 VDR STAND LONG PLATE," $2,841.00 "," $1,988.70 "
ACU 70-0372 LONG STAND PLATE," $2,841.00 "," $1,988.70 "
ACU 7005-08006 COMPRESSION PLATE," $1,136.00 ", $795.20 
ACU 7007-0105L LAT FIB PLATE," $2,828.67 "," $1,980.07 "
ACU 7007-0107X LAT FIB PLATE," $2,935.00 "," $2,054.50 "
ACU 7008-0107 1/3 SEMI-TUB PL 7HL, $348.00 , $243.60 
ACU 7008-01XX SM FRAG 1/3 PLATE, $362.00 , $253.40 
ACU AT2-MXX-S MINI ACUTRAK BN SCR," $1,447.00 "," $1,012.90 "
ACU AT2-S24-S STAND ACUTRAK 2 SCR," $1,591.00 "," $1,113.70 "
ACU COL-3240 3.5 LOCKING SCREW," $1,673.00 "," $1,171.10 "
ACU CO-N2312 CORT SCRW NON-TOGGLE, $338.00 , $236.60 
ACU CO-T2322 LCK SCREW 2.3MM," $1,014.08 ", $709.86 
ACU PL ELOX OLECRENON PLATE," $14,604.00 "," $10,222.80 "
ACU PL-DR50L ACULOC PLATE," $1,012.00 ", $708.40 
ACU TR-H240R-S HEAD RIGHT 24.0MM," $8,117.00 "," $5,681.90 "
ACU TR-S0902-S STEM 9MM X 2MM," $5,375.00 "," $3,762.50 "
ACUMED 18MMLOCKHEXSCREW 30-0329, $399.00 , $279.30 
ACUMED 2.7X12 NON LOC HEX 30-0345, $281.00 , $196.70 
ACUMED 2.7X16 NON LOC HEX 30-0347, $281.00 , $196.70 
ACUMED 2.7X20 LOC HEX 30-0330, $405.00 , $283.50 
ACUMED 2.7X20 NON LOC 30-0349, $281.00 , $196.70 
ACUMED 20MMHEXSCRWNONLOCK 30-0261, $300.00 , $210.00 
ACUMED 3.5X10MM NON LOC 30-0256, $300.30 , $210.21 
ACUMED 3.5X14MM NONLOCK 30-0258, $302.00 , $211.40 
ACUMED 4.0X36 CAN SCR 3006-40036, $985.00 , $689.50 
ACUMED 4HOLE LEFT FIB 7007-0204L," $2,834.00 "," $1,983.80 "
ACUMED 8HOLE CLAV PLATE 70-0287," $3,162.00 "," $2,213.40 "
ACUMED LOCHEXSCREW2.7X16 30-0328, $350.00 , $245.00 
ACUMED LOCK HEXSCREW 14MM 30-0235, $399.00 , $279.30 
ACUMED NONLOCHEXSC3.0X14 30-0304, $262.00 , $183.40 
ACUMED NONLOCHEXSC3.0X16 30-0305, $262.00 , $183.40 
ACUMED NONLOCHEXSC3.7X18 30-0348, $262.00 , $183.40 
ACUMED NONLOCKHEXSCRW12MM 30-0257, $300.00 , $210.00 
ACUMED OLCRANON PLATE 3H 70-0303," $2,853.00 "," $1,997.10 "
ADAPTER X-MAS TREE," $1,665.00 "," $1,165.50 "
AEROSOL TALC," $3,372.00 "," $2,360.40 "
AGEE WRIST JACK," $2,953.00 "," $2,067.10 "
ALL SPI COMP CROSSLINK," $2,931.00 "," $2,051.70 "
ALL SPI COMP PED 2 OR 3 PART SCRW," $2,931.00 "," $2,051.70 "
ALL SPI COMP ROD LESS THAN 300MM, $670.00 , $469.00 
ALLODERM 6X16CM THICK," $7,109.00 "," $4,976.30 "
ALLODERM MD PERF MD THCK BILAT, $257.00 , $179.90 
ALLODERM MD PERF MD THCK BILAT," $18,844.00 "," $13,190.80 "
ALLODERM MD PERF MD THICK, $257.00 , $179.90 
ALLODERM MD PERF MD THICK," $10,065.00 "," $7,045.50 "
AMS 72403867 SCROTAL RETRACT, $268.00 , $187.60 
AMS 72403867 SCROTAL RETRACT," $19,510.00 "," $13,657.00 "
ANCHOR BIO SWIVEL 5.5, $464.00 , $324.80 
ANCHOR BIO SWIVEL 5.5," $1,586.00 "," $1,110.20 "
ANCHOR BIOCOMPOSITE 2.9," $1,331.00 ", $931.70 
ANCHOR CORKSCRW 2.2X4," $1,154.00 ", $807.80 
ANCHOR CORKSCRW MINI 2-0," $1,154.00 ", $807.80 
ANCHOR JUGGERKNOT 2.9MM, $980.00 , $686.00 
ANCHOR SUTURETAK 3.0 DBL," $1,398.00 ", $978.60 
ANCHOR TOGGLELOC 2.9MM," $2,144.00 "," $1,500.80 "
ARG 352506070E VENA CAVA FILTER," $1,173.00 ", $821.10 
ARG 352506070E VENA CAVA FILTER," $2,593.00 "," $1,815.10 "
ART 1351LB BIO TRANSFIX PLLA," $3,511.00 "," $2,457.70 "
ART 3.0 BIOCOMP TAK AR1934BCFT, $983.00 , $688.10 
ART ACL TIGHTROPE AR-1588RT, $832.00 , $582.40 
ART AR 9100 09 STEM," $4,718.00 "," $3,302.60 "
ART AR-1319FT MINI SUT ANCHOR, $955.00 , $668.50 
ART AR1365 25 POST BI-CORTICAL, $506.00 , $354.20 
ART AR1403TB FULL THREAD SCREW, $50.00 , $35.00 
